"SITE_ID","FW_ECO9","NTL_RESULT","PTL_RESULT"
"NLA12_LA-141","CPL",9.5,3085
"NLA12_MN-105","UMW",0.395,26
"NLA12_MT-126","NPL",3.195,355
"NLA12_NJ-107","NAP",0.465,49
"NLA12_SD-106","TPL",0.688,42
"NLA12_TX-157","CPL",0.579,58
"NLA12_WV-113","SAP",0.193,26
"NLA12_SD-110","TPL",1.735,167
"NLA12_IL-110","TPL",0.52,24
"NLA12_NH-105","NAP",0.414,27
"NLA12_CT-115","NAP",0.238,10
"NLA12_IA-R01","TPL",0.623,46
"NLA12_MN-109","UMW",1.055,25
"NLA12_VA-R17","SAP",0.191,9
"NLA12_MT-154","NPL",13.413,3436
"NLA12_ID-194","XER",0.471,93
"NLA12_UT-173","XER",0.163,36
"NLA12_UT-165","WMT",0.641,41
"NLA12_WV-111","SAP",0.245,11
"NLA12_NV-109","XER",0.606,83
"NLA12_KS-107","TPL",0.368,28
"NLA12_RI-104","NAP",0.303,20
"NLA12_PA-118","NAP",0.3,14
"NLA12_PA-109","NAP",0.27,10
"NLA12_NY-0102","NAP",0.396,16
"NLA12_WV-R01","SAP",0.134,7
"NLA12_DE-102","CPL",1.495,227
"NLA12_MN-150","UMW",0.764,17
"NLA12_IA-R02","TPL",2.245,208
"NLA12_ND-102","TPL",2.75,254
"NLA12_OR-111","XER",2.424,306
"NLA12_IA-113","TPL",0.696,33
"NLA12_TX-107","SPL",0.83,43
"NLA12_KS-121","TPL",0.643,68
"NLA12_ND-119","TPL",2.508,840
"NLA12_ND-167","NPL",3.775,322
"NLA12_CT-102","NAP",0.176,7
"NLA12_NH-103","NAP",0.133,6
"NLA12_TX-105","CPL",0.59,35
"NLA12_ND-187","NPL",1.054,43
"NLA12_UT-186","WMT",0.428,118
"NLA12_UT-141","XER",1.339,193
"NLA12_MN-138","UMW",0.383,28
"NLA12_SD-102","TPL",1.931,709
"NLA12_CO-114","WMT",0.345,37
"NLA12_CO-131","XER",0.314,48
"NLA12_MN-153","UMW",0.586,22
"NLA12_WV-112","SAP",0.658,63
"NLA12_MT-142","NPL",1.901,103
"NLA12_GA-118","SAP",0.119,14
"NLA12_MD-105","CPL",0.611,77
"NLA12_IA-150","TPL",2.034,62
"NLA12_LA-172","CPL",1.948,427
"NLA12_OK-103","SPL",1.31,105
"NLA12_OH-103","SAP",0.353,17
"NLA12_WA-118","WMT",0.585,28
"NLA12_UT-148","XER",2.023,265
"NLA12_KS-122","SPL",0.534,60
"NLA12_RI-102","NAP",0.33,18
"NLA12_ID-168","WMT",0.103,17
"NLA12_ID-141","WMT",0.125,36
"NLA12_UT-125","WMT",0.208,20
"NLA12_KY-116","TPL",0.415,26
"NLA12_VT-112","NAP",0.536,19
"NLA12_ID-113","WMT",0.329,34
"NLA12_ID-101","WMT",0.14,56
"NLA12_SD-183","NPL",0.344,41
"NLA12_ND-196","NPL",1.901,91
"NLA12_UT-260","WMT",0.285,21
"NLA12_RI-111","NAP",0.596,24
"NLA12_MD-101","SAP",0.218,6
"NLA12_ID-209","WMT",0.104,41
"NLA12_ID-175","XER",0.553,201
"NLA12_CO-108","WMT",0.071,25
"NLA12_IA-152","TPL",1.418,240
"NLA12_ND-106","TPL",1.615,89
"NLA12_WA-157","WMT",0.099,25
"NLA12_WA-121","WMT",0.348,9
"NLA12_WY-101","XER",0.106,22
"NLA12_MO-108","SAP",0.3,20
"NLA12_WY-104","NPL",0.146,15
"NLA12_WY-107","SPL",1.559,1528
"NLA12_MI-111","TPL",0.958,36
"NLA12_MI-114","UMW",0.659,51
"NLA12_MI-135","UMW",0.568,22
"NLA12_MI-155","UMW",1.085,25
"NLA12_WY-130","XER",1.805,44
"NLA12_IA-104","TPL",0.699,22
"NLA12_CA-101","XER",0.488,25.3
"NLA12_GA-105","SAP",0.073,19
"NLA12_MT-107","NPL",1.62,42
"NLA12_OK-105","SPL",1.11,344
"NLA12_WY-105","XER",0.254,52
"NLA12_OR-104","WMT",0.186,32
"NLA12_OK-106","SPL",0.97,71
"NLA12_IA-127","TPL",0.86,50
"NLA12_MO-R02","SAP",0.401,18
